,idlink,dataN-2,dataN-1,dataN,eqtype,acmLowerMode,freqband,bandwidth,acmEngine,esN-2,sesN-2,txMaxAN-2,txminAN-2,rxmaxAN-2,rxminAN-2,txMaxBN-2,txminBN-2,rxmaxBN-2,rxminBN-2,esN-1,sesN-1,txMaxAN-1,txminAN-1,rxmaxAN-1,rxminAN-1,txMaxBN-1,txminBN-1,rxmaxBN-1,rxminBN-1,esN,sesN,txMaxAN,txminAN,rxmaxAN,rxminAN,txMaxBN,txminBN,rxmaxBN,rxminBN,lowthr,ptx,RxNominal,Thr_min,label
2278,247,2019-06-05 17:15:00,2019-06-05 17:30:00,2019-06-05 17:45:00,19,2,18,28,1,0.0,0.0,18.0,18.0,-43.0,-45.0,18.0,18.0,-44.0,-46.0,10.0,3.0,22.0,18.0,-43.0,-97.0,22.0,18.0,-45.0,-90.0,6.0,0.0,22.0,18.0,-45.0,-97.0,22.0,18.0,-46.0,-90.0,-85.0,23.0,-42,-86,0.0
20,262,2018-08-09 18:00:00,2018-08-09 18:15:00,2018-08-09 18:30:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-95.0,-97.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
21,262,2018-08-09 18:15:00,2018-08-09 18:30:00,2018-08-09 18:45:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
23,262,2018-08-09 18:45:00,2018-08-09 19:00:00,2018-08-09 19:15:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
19,262,2018-08-09 17:45:00,2018-08-09 18:00:00,2018-08-09 18:15:00,19,2,23,28,1,0.0,0.0,14.0,14.0,-91.0,-97.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-95.0,-97.0,14.0,14.0,-97.0,-97.0,0.0,0.0,14.0,14.0,-96.0,-96.0,14.0,14.0,-97.0,-97.0,-85.0,23.0,-43,-86,0.0
14,334,2018-05-31 14:45:00,2018-05-31 15:00:00,2018-05-31 15:15:00,19,2,23,28,1,0.0,0.0,18.0,18.0,-45.0,-47.0,18.0,18.0,-44.0,-46.0,0.0,0.0,18.0,18.0,-45.0,-55.0,18.0,18.0,-44.0,-55.0,1.0,0.0,22.0,18.0,-54.0,-97.0,22.0,18.0,-54.0,-97.0,-85.0,23.0,-41,-86,0.0
15,334,2018-05-31 15:00:00,2018-05-31 15:15:00,2018-05-31 15:30:00,19,2,23,28,1,0.0,0.0,18.0,18.0,-45.0,-55.0,18.0,18.0,-44.0,-55.0,1.0,0.0,22.0,18.0,-54.0,-97.0,22.0,18.0,-54.0,-97.0,21.0,0.0,22.0,18.0,-50.0,-97.0,22.0,18.0,-50.0,-97.0,-85.0,23.0,-41,-86,0.0
143,334,2018-10-29 11:45:00,2018-10-29 12:00:00,2018-10-29 12:15:00,19,2,23,28,1,0.0,0.0,18.0,18.0,-48.0,-51.0,18.0,18.0,-47.0,-50.0,0.0,0.0,18.0,18.0,-47.0,-52.0,18.0,18.0,-47.0,-52.0,27.0,0.0,22.0,18.0,-52.0,-95.0,22.0,18.0,-52.0,-97.0,-85.0,23.0,-41,-86,0.0
2355,658,2019-06-07 11:15:00,2019-06-07 11:30:00,2019-06-07 11:45:00,19,6,23,28,1,0.0,0.0,18.0,18.0,-43.0,-44.0,18.0,18.0,-41.0,-42.0,0.0,0.0,18.0,18.0,-43.0,-44.0,18.0,18.0,-41.0,-42.0,1.0,0.0,20.0,18.0,-41.0,-96.0,20.0,18.0,-39.0,-42.0,-74.5,21.0,-45,-86,5.0
2354,658,2019-06-07 11:15:00,2019-06-07 11:30:00,2019-06-07 11:45:00,19,6,23,28,1,0.0,0.0,18.0,18.0,-42.0,-43.0,18.0,18.0,-42.0,-43.0,0.0,0.0,18.0,18.0,-42.0,-43.0,18.0,18.0,-43.0,-43.0,1.0,0.0,20.0,18.0,-40.0,-97.0,20.0,,-40.0,-43.0,-74.5,21.0,-45,-86,5.0
2492,1719,2019-06-20 11:00:00,2019-06-20 11:15:00,2019-06-20 11:30:00,29,2,38,56,1,6.0,0.0,8.0,8.0,-37.0,-38.0,8.0,8.0,-38.0,-39.0,234.0,3.0,8.0,8.0,-37.0,-38.0,8.0,8.0,-38.0,-39.0,900.0,193.0,9.0,,-37.0,-62.0,8.0,,-37.0,-68.0,-79.5,19.0,-36,-81,2.0
2507,2973,2019-06-18 10:30:00,2019-06-18 10:45:00,2019-06-18 11:00:00,19,2,23,28,1,13.0,0.0,22.0,18.0,-52.0,-82.0,22.0,18.0,-50.0,-77.0,1.0,0.0,22.0,18.0,-52.0,-74.0,22.0,18.0,-49.0,-77.0,4.0,0.0,22.0,18.0,-47.0,-96.0,22.0,18.0,-49.0,-97.0,-85.0,23.0,-42,-86,1.0
155,3101,2018-08-07 21:30:00,2018-08-07 21:45:00,2018-08-07 22:00:00,19,2,18,28,1,0.0,0.0,18.0,17.0,-46.0,-68.0,19.0,18.0,-48.0,-69.0,6.0,0.0,21.0,17.0,-58.0,-97.0,22.0,18.0,-59.0,-94.0,51.0,10.0,21.0,17.0,-60.0,-97.0,22.0,18.0,-61.0,-94.0,-85.0,23.0,-37,-86,0.0
154,3101,2018-08-07 21:15:00,2018-08-07 21:30:00,2018-08-07 21:45:00,19,2,18,28,1,0.0,0.0,17.0,17.0,-38.0,-48.0,18.0,18.0,-40.0,-50.0,0.0,0.0,18.0,17.0,-46.0,-68.0,19.0,18.0,-48.0,-69.0,6.0,0.0,21.0,17.0,-58.0,-97.0,22.0,18.0,-59.0,-94.0,-85.0,23.0,-37,-86,0.0
1580,3891,2019-05-28 16:45:00,2019-05-28 17:00:00,2019-05-28 17:15:00,19,5,23,28,1,0.0,0.0,18.0,18.0,-39.0,-40.0,18.0,18.0,-39.0,-40.0,0.0,0.0,18.0,18.0,-39.0,-54.0,18.0,18.0,-39.0,-53.0,1.0,0.0,20.0,18.0,-44.0,-97.0,20.0,,-48.0,-55.0,-78.0,21.0,-39,-86,0.0
2166,3924,2019-06-05 17:00:00,2019-06-05 17:15:00,2019-06-05 17:30:00,19,2,18,56,1,0.0,0.0,15.0,15.0,-47.0,-49.0,15.0,15.0,-46.0,-48.0,0.0,0.0,19.0,15.0,-48.0,-75.0,19.0,15.0,-47.0,-76.0,81.0,0.0,19.0,15.0,-57.0,-93.0,19.0,15.0,-57.0,-94.0,-82.5,23.0,-46,-84,0.0
